,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,OuterLoop,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,5,0,1.074752,9.988467,0.371257,0.213425
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,5,0,1.074752,9.988467,0.351796,0.206957
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,5,0,1.074752,9.988467,0.342814,0.204647
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,5,0,1.074752,9.988467,0.330090,0.199277
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.050000,5,0,1.074752,9.988467,0.321108,0.196609
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.060000,5,0,1.074752,9.988467,0.315120,0.194547
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.070000,5,0,1.074752,9.988467,0.310629,0.194653
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.080000,5,0,1.074752,9.988467,0.306886,0.194129
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.090000,5,0,1.074752,9.988467,0.294162,0.187948
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.100000,5,0,1.074752,9.988467,0.286677,0.184578
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.150000,5,0,1.074752,9.988467,0.243263,0.166240
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,10,0,1.170312,10.084027,0.377994,0.214255
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,10,0,1.170312,10.084027,0.359281,0.209241
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,10,0,1.170312,10.084027,0.349551,0.206729
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,10,0,1.170312,10.084027,0.339820,0.203041
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.050000,10,0,1.170312,10.084027,0.330090,0.199097
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.060000,10,0,1.170312,10.084027,0.327096,0.198817
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.070000,10,0,1.170312,10.084027,0.320359,0.196691
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.080000,10,0,1.170312,10.084027,0.315120,0.195178
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.090000,10,0,1.170312,10.084027,0.311377,0.194302
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.100000,10,0,1.170312,10.084027,0.308383,0.194065
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.150000,10,0,1.170312,10.084027,0.273952,0.180296
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.010000,100,0,1.738987,10.652702,0.393713,0.219808
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.020000,100,0,1.738987,10.652702,0.372006,0.213947
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.030000,100,0,1.738987,10.652702,0.361527,0.211379
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.040000,100,0,1.738987,10.652702,0.351796,0.207414
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.050000,100,0,1.738987,10.652702,0.346557,0.205686
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.060000,100,0,1.738987,10.652702,0.336078,0.200626
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.070000,100,0,1.738987,10.652702,0.330090,0.198291
,CA-GrQc_component,4158,13428,0.000777,1336,7.000000,0.080000,100,0,1.738987,10.652702,0.327096,0.198276
